"Name","Gross Export","Share","Code","Sector"
"Horses","527088","0.0010277806886105354","0101","Agriculture"
"Bovine","124141","0.00024206531445375434","0102","Agriculture"
"Swine","11701","0.000022816041794599526","0103","Agriculture"
"Sheep","2387499","0.004655437737677513","0104","Agriculture"
"Fowl","413854","0.0008069831775798815","0105","Agriculture"
"Other live animals","17482246","0.03408902276723959","0106","Agriculture"
"Beef","921962","0.0017977543393754866","0201","Agriculture"
"Beef (frozen)","302103","0.0005890774014420904","0202","Agriculture"
"Pork","815756","0.001590660882847221","0203","Agriculture"
"Lamb","237098","0.0004623226969845277","0204","Agriculture"
"Edible offal","79353","0.0001547321907979537","0206","Agriculture"
"Poultry","1707212","0.0033289308900300695","0207","Agriculture"
"Other meat","634320","0.0012368747655029802","0208","Agriculture"
"Preserved meat","39850","0.00007770440693229563","0210","Agriculture"
"Live Fish","6290758","0.01226648982546033","0301","Agriculture"
"Fish, excluding fillets","46338824","0.09035711008431686","0302","Agriculture"
"Frozen fish, excluding fillets","867774","0.0016920919453266223","0303","Agriculture"
"Fish fillets","399829","0.0007796355161689542","0304","Agriculture"
"Preserved fish","1026216","0.0020010415474136186","0305","Agriculture"
"Crustaceans","406711","0.0007930548820035354","0306","Agriculture"
"Molluscs","3375269","0.006581512569183501","0307","Agriculture"
"Milk","10080681","0.019656545510129506","0401","Agriculture"
"Milk, concentrated","15576929","0.030373802503675704","0402","Agriculture"
"Fermented milk products","398194","0.0007764473930739906","0403","Agriculture"
"Whey","632977","0.001234256019743631","0404","Agriculture"
"Butter","3003515","0.005856621123895957","0405","Agriculture"
"Cheese","348526240","0.6795991161742265","0406","Agriculture"
"Eggs, in shell","41656","0.0000812259667546225","0407","Agriculture"
"Egg yolks","3200518","0.00624076168296454","0408","Agriculture"
"Honey","3832221","0.007472533501593196","0409","Agriculture"
"Edible animal products, n.e.c.","95412","0.0001860459943343586","0410","Agriculture"
"Brushmaking hair","4489","0.000008753201573878922","0502","Agriculture"
"Animal guts, except fish","31581262","0.06158100963321065","0504","Agriculture"
