"Name","Gross Export","Share","Code","Sector"
"Horses","205889","0.00036979752421980585","0101","Agriculture"
"Bovine","326856","0.000587066524080397","0102","Agriculture"
"Sheep","32685","0.00005870557474719074","0104","Agriculture"
"Fowl","45216","0.00008121252157775666","0105","Agriculture"
"Other live animals","23435168","0.04209193840406831","0106","Agriculture"
"Beef","1470109","0.002640464855010489","0201","Agriculture"
"Beef (frozen)","127150","0.0002283742949091419","0202","Agriculture"
"Pork","94319","0.00016940648935537047","0203","Agriculture"
"Lamb","166972","0.0002998986454547325","0204","Agriculture"
"Horse meat","13112","0.00002355048175264387","0205","Agriculture"
"Edible offal","372952","0.0006698596149032976","0206","Agriculture"
"Poultry","2984015","0.0053595935636909404","0207","Agriculture"
"Other meat","328183","0.0005894499506580174","0208","Agriculture"
"Preserved meat","151952","0.00027292120220239033","0210","Agriculture"
"Live Fish","4047459","0.007269646836796386","0301","Agriculture"
"Fish, excluding fillets","32434114","0.058254958047603056","0302","Agriculture"
"Frozen fish, excluding fillets","2110469","0.0037906163570790544","0303","Agriculture"
"Fish fillets","266101","0.00047794438261594625","0304","Agriculture"
"Preserved fish","683167","0.0012270372153377407","0305","Agriculture"
"Crustaceans","8742003","0.015701523957676784","0306","Agriculture"
"Molluscs","939990","0.0016883173690259085","0307","Agriculture"
"Milk","17021620","0.030572555766506866","0401","Agriculture"
"Milk, concentrated","21704482","0.038983450830657976","0402","Agriculture"
"Fermented milk products","1093136","0.0019633831163177328","0403","Agriculture"
"Whey","599513","0.0010767861475726652","0404","Agriculture"
"Butter","2604778","0.004678445451394769","0405","Agriculture"
"Cheese","247515968","0.4445637803441111","0406","Agriculture"
"Eggs, in shell","127135","0.00022834735338791786","0407","Agriculture"
"Egg yolks","1972400","0.0035426304308202234","0408","Agriculture"
"Honey","4297986","0.007719618735976115","0409","Agriculture"
"Edible animal products, n.e.c.","219293","0.00039387246758561115","0410","Agriculture"
"Brushmaking hair","7420","0.000013327072498826842","0502","Agriculture"
"Animal guts, except fish","24884302","0.044694730031900505","0504","Agriculture"
"Feathers and down","17503","0.00003143716306562887","0505","Agriculture"
"Bones, simply prepared","1262601","0.0022677594425999014","0506","Agriculture"
"Whalebone & horns","147621","0.00026514228697430153","0507","Agriculture"
"Coral and shells","10005","0.000017969994656437","0508","Agriculture"
"Animal products used in pharmaceuticals","5822","0.000010456902437758742","0510","Agriculture"
"Animal products n.e.c.","81286","0.00014599789961450654","0511","Agriculture"
"Flower bulbs","35671988","0.0640705081203883","0601","Agriculture"
"Other live plants","2550717","0.0045813464128019","0602","Agriculture"
"Cut flowers","3319070","0.0059613863232724","0603","Agriculture"
"Other parts of plants","551502","0.0009905535225401617","0604","Agriculture"
"Potatoes","224196560","0.4026797586398358","0701","Agriculture"
"Tomatoes","39785844","0.0714594107028322","0702","Agriculture"
"Onions, shallots, garlic","160371552","0.28804357146271947","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","5343951","0.009598277952449892","0704","Agriculture"
"Lettuce","13670471","0.024553552305944727","0705","Agriculture"
"Carrots & turnips","7922151","0.014228986620438484","0706","Agriculture"
"Cucumbers","715333","0.0012848106134505796","0707","Agriculture"
"Legumes","50270300","0.09029055695926887","0708","Agriculture"
"Other vegetables","21403284","0.038442468676682016","0709","Agriculture"
"Frozen vegetables","115317768","0.20712240627208814","0710","Agriculture"
"Vegetables, provisionally preserved","44443960","0.0798258594413693","0711","Agriculture"
"Vegetables, dried","45370548","0.08149010545923223","0712","Agriculture"
"Legumes, dried","144733472","0.2599559938478335","0713","Agriculture"
"Tubers","25669134","0.04610436789758774","0714","Agriculture"
"Cashew nuts & coconuts","364461","0.000654608917789074","0801","Agriculture"
"Other nuts","718606","0.0012906892533816657","0802","Agriculture"
"Bananas and plantains","10718042","0.01925069040154596","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","69440408","0.12472201506254924","0804","Agriculture"
"Citrus fruit","740492096","1.3299989013746962","0805","Agriculture"
"Grapes","181229920","0.3255073157407801","0806","Agriculture"
"Melons and papayas","12286437","0.02206768688022487","0807","Agriculture"
"Apples & pears","641469","0.0011521433785377298","0808","Agriculture"
"Peaches & cherries","13802148","0.02479005755195928","0809","Agriculture"
"Other fresh fruit","156767040","0.2815695023593649","0810","Agriculture"
"Fruits and nuts, frozen","110047592","0.19765663570152514","0811","Agriculture"
"Fruits and nuts, provisionally preserved","163956","0.00029448160358728484","0812","Agriculture"
"Fruits, dried","5320834","0.00955675747604081","0813","Agriculture"
"Peel of citrus fruit or melons","359174","0.0006451129296083062","0814","Agriculture"
"Coffee","913135","0.0016400830655277962","0901","Agriculture"
"Tea","10620985","0.019076366186516498","0902","Agriculture"
"Pepper","801229","0.0014390885405879423","0904","Agriculture"
"Vanilla","6487","0.000011651309878691337","0905","Agriculture"
"Cinnamon","204714","0.0003676871050572558","0906","Agriculture"
"Cloves","39640","0.00007119746008807223","0907","Agriculture"
"Nutmeg","88923","0.00015971472612037456","0908","Agriculture"
"Anise, fennel, etc.","37170104","0.0667612763877269","0909","Agriculture"
"Spices","9404252","0.016890990323616892","0910","Agriculture"
"Wheat and meslin","2440926","0.004384150642354637","1001","Agriculture"
"Barley","24231","0.00004352133338531984","1003","Agriculture"
"Oats","108865","0.00019553258053703289","1004","Agriculture"
"Corn","1875449","0.003368496602540741","1005","Agriculture"
"Rice","3120652","0.005605007472723582","1006","Agriculture"
"Grain sorghum","971980","0.0017457746532897188","1007","Agriculture"
"Other cereals","1796217","0.0032261878952325137","1008","Agriculture"
"Wheat or meslin flour","220317856","0.39571321289731703","1101","Agriculture"
"Cereal flours","1886722","0.0033887440537913173","1102","Agriculture"
"Cereal meals","1934922","0.0034753161419912443","1103","Agriculture"
"Worked cereal grains","540719","0.0009711861609829044","1104","Agriculture"
"Potato flour","1679458","0.003016476890125974","1105","Agriculture"
"Flour of dried legumes","422116","0.0007581631448672225","1106","Agriculture"
"Malt","1307927","0.002349169535333301","1107","Agriculture"
"Starches","13622114","0.024466698229822652","1108","Agriculture"
"Wheat gluten","59227","0.00010637769850242821","1109","Agriculture"
"Soya beans","6499974","0.011674612498448719","1201","Agriculture"
"Peanuts","61479224","0.11042292121558155","1202","Agriculture"
"Copra","2050863","0.0036835579361403654","1203","Agriculture"
"Linseed","678389","0.0012184554427771754","1204","Agriculture"
"Rape or colza seeds","38411","0.00006899005144911561","1205","Agriculture"
"Sunflower seeds","2198715","0.003949115122541517","1206","Agriculture"
"Other oil seeds","17491158","0.03141589363267319","1207","Agriculture"
"Flours of oil seeds","4568631","0.008205724603421533","1208","Agriculture"
"Seeds used for sowing","66295620","0.11907365688607476","1209","Agriculture"
"Hop cones","22259","0.00003997942139506559","1210","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","67982528","0.12210351473174201","1211","Agriculture"
"Seaweeds & edible vegetable products","19082354","0.03427384301971406","1212","Agriculture"
"Cereal straw and husks","269809","0.00048460432666252984","1213","Agriculture"
"Forage products","21874426","0.0392886874895179","1214","Agriculture"
"Lac","2683527","0.004819886641719582","1301","Agriculture"
"Vegetable saps and extracts","14461258","0.025973885955557902","1302","Agriculture"
"Vegetable materials used for plaiting","401884","0.0007218244210402327","1401","Agriculture"
"Vegetable products n.e.c.","2381182","0.004276844359420687","1404","Agriculture"
"Pig and poultry fat, rendered","1787","0.000003209633228491046","1501","Agriculture"
"Bovine, sheep and goat fats","46239","0.00008304993332523643","1502","Agriculture"
"Lard oil, tallow oil etc.","17441","0.00003132580477790282","1503","Agriculture"
"Fish oils","9639","0.00001731262153857034","1504","Agriculture"
"Wool grease","651665","0.0011704564285644195","1505","Agriculture"
"Other animal fats and oils","68579","0.00012317483893491184","1506","Agriculture"
"Soybean oil","34781868","0.06247176232892525","1507","Agriculture"
"Peanut oil","40167","0.00007214400553374362","1508","Agriculture"
"Olive oil","7995826","0.01436131439218391","1509","Agriculture"
"Olive oil, blended","608266","0.001092507423257602","1510","Agriculture"
"Palm oil","6774426","0.012167556123980797","1511","Agriculture"
"Sunflower seed oil","29795348","0.05351546670131743","1512","Agriculture"
"Coconut & palm kernel oil","20063","0.00003603518268786562","1513","Agriculture"
"Rapeseed, colza or mustard oil,","107247","0.00019262648844766607","1514","Agriculture"
"Other vegetable fats and oils","29070776","0.05221406190689425","1515","Agriculture"
"Vegetable fats, hydrogenated","5524379","0.009922344938544006","1516","Agriculture"
"Margarine","6374257","0.01144881201686718","1517","Agriculture"
"Animal or vegetable fats and oils, processed","3730537","0.006700422784171966","1518","Agriculture"
"Stearic acid","6885556","0.01236715687422266","1519","Agriculture"
"Glycerol","129131","0.00023193237181213055","1520","Agriculture"
"Vegetable waxes and beeswax","313074","0.0005623126543797458","1521","Agriculture"
"Degras and wax residues","53135","0.0000954358486826367","1522","Agriculture"
"Sausages","33069","0.00005939527769052625","1601","Agriculture"
"Other prepared or preserved meat","6955739","0.01249321265982713","1602","Agriculture"
"Extracts and juices of meat or fish","112508","0.00020207577799164557","1603","Agriculture"
"Prepared or preserved fish","5502771","0.009883534779170065","1604","Agriculture"
"Prepared aquatic invertibrates","19710198","0.03540151451647329","1605","Agriculture"
"Sugarcane & sucrose","197193584","0.3541796752387467","1701","Agriculture"
"Other sugars","16530665","0.02969075079633685","1702","Agriculture"
"Molasses","30887470","0.05547702857080041","1703","Agriculture"
"Confectionery sugar","52195656","0.09374869159512483","1704","Agriculture"
"Cocoa paste","955","0.0000017152768512641016","1803","Agriculture"
"Cocoa butter","113024","0.00020300256632175266","1804","Agriculture"
"Cocoa powder","1195728","0.002147648752678871","1805","Agriculture"
"Chocolates","144559856","0.25964416190457795","1806","Agriculture"
"Malt extract","8296282","0.014900963838909993","1901","Agriculture"
"Pasta","76091872","0.13666871896434665","1902","Agriculture"
"Tapioca","145365","0.0002610902821822054","1903","Agriculture"
"Cereal foods","13415790","0.024096119401487353","1904","Agriculture"
"Bakery products","84215184","0.15125901114151513","1905","Agriculture"
"Pickled fruits and vegetables","38910384","0.06988699575811212","2001","Agriculture"
"Tomatoes, prepared or preserved","16306956","0.029288946744902875","2002","Agriculture"
"Mushrooms, prepared or preserved","29512","0.00005300654495759808","2003","Agriculture"
"Other vegetables, frozen","59080624","0.1061147923617155","2004","Agriculture"
"Other vegetables, prepared or preserved","113911712","0.20459698710100857","2005","Agriculture"
"Vegetables, fruits and nuts, preserved by sugar","1461965","0.0026258374050872483","2006","Agriculture"
"Jams, jellies and marmalades","29654616","0.05326269775699062","2007","Agriculture"
"Fruits and nuts, otherwise prepared","29361050","0.05273542344901345","2008","Agriculture"
"Fruit juices","116988296","0.21012284397657874","2009","Agriculture"
"Coffee extracts","15876151","0.02851517727484127","2101","Agriculture"
"Yeasts","53045628","0.095275327506981","2102","Agriculture"
"Sauces and seasonings","34718164","0.06235734348438815","2103","Agriculture"
"Soups and broths","27062106","0.04860628687775429","2104","Agriculture"
"Ice cream","2197242","0.0039464694651573165","2105","Agriculture"
"Food preparations n.e.c.","89086784","0.16000889879451846","2106","Agriculture"
"Waters","2879749","0.0051723212535611995","2201","Agriculture"
"Waters, flavored or sweetened","37271880","0.06694407640533345","2202","Agriculture"
"Beer","2044899","0.0036728459873016854","2203","Agriculture"
"Wine","53642","0.00009634647210000936","2204","Agriculture"
"Wine, flavored","3706","0.000006656351843753676","2205","Agriculture"
"Ethyl alcohol > 80%","1045418","0.0018776767489998055","2207","Agriculture"
"Vinegars","166403","0.0002988766637496338","2209","Agriculture"
"Flours of fish, for animal feed","207870","0.0003733556011227945","2301","Agriculture"
"Cereal residues","8388673","0.015066907444737364","2302","Agriculture"
"Starch residues","73123656","0.1313375020069103","2303","Agriculture"
"Solid soybean residues","1296892","0.00232934955621948","2304","Agriculture"
"Solid peanut residues","70499","0.00012662335365158943","2305","Agriculture"
"Solid vegetable oil and fat residues","276594","0.0004967908747628722","2306","Agriculture"
"Vegetable materials for animal feeding","7817004","0.014040131944962186","2308","Agriculture"
"Animal feed","15893015","0.02854546672910276","2309","Agriculture"
"Unmanufactured tobacco","439742","0.0007898212284068885","2401","Agriculture"
"Cigars and cigarettes","4374111","0.007856346956188136","2402","Agriculture"
"Other manufactured tobacco","97311160","0.17478071216508606","2403","Agriculture"
"Salt","70472872","0.12657642511381995","2501","Minerals"
"Sulphur, crude","1625980","0.0029204249786580145","2503","Minerals"
"Natural sands","42215444","0.07582321870056127","2505","Minerals"
"Quartz","6905039","0.012402150318089866","2506","Minerals"
"Kaolin","6017359","0.01080778701407927","2507","Minerals"
"Clays","6221255","0.011174004908179108","2508","Minerals"
"Chalk","307481","0.0005522670591660075","2509","Minerals"
"Natural calcium phosphates","143196672","0.25719574519335947","2510","Minerals"
"Natural barium sulfate","97283","0.00017473013394924146","2511","Minerals"
"Natural abrasives","21821","0.00003919272897532352","2513","Minerals"
"Slate","24462","0.00004393623281217011","2514","Minerals"
"Marble","85059640","0.15277573975796652","2515","Minerals"
"Granite","1475715","0.0026505337995426214","2516","Minerals"
"Gravel","1456603","0.00261620670930036","2517","Minerals"
"Dolomite","4281551","0.007690099809221639","2518","Minerals"
"Natural magnesia","25036","0.00004496719502434351","2519","Minerals"
"Gypsum","9703770","0.01742895502721576","2520","Minerals"
"Limstone","6350481","0.011406107909625656","2521","Minerals"
"Quicklime","435093","0.00078147115292885","2522","Minerals"
"Cements","142716752","0.2563337602023033","2523","Minerals"
"Natural steatite","5527768","0.009928431926239224","2526","Minerals"
"Feldspar","12552","0.000022544664960279585","2529","Minerals"
"Mineral substances n.e.c.","3049393","0.005477019081996642","2530","Minerals"
